,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State,Mean
17,2018.0,10.9,10.6,10.3,9.9,9.6,9.3,9.1,8.8,8.4,8.4,8.4,8.4,Puerto Rico,9.34
17,2018.0,4.8,4.7,4.6,4.4,4.3,4.3,4.2,4.1,4.1,4.1,4.1,4.1,Illinois,4.32
17,2018.0,4.7,4.6,4.6,4.5,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,New Jersey,4.36
17,2018.0,4.5,4.5,4.5,4.4,4.3,4.2,4.1,3.9,3.8,3.8,3.8,3.8,North Carolina,4.13
17,2018.0,4.1,4.1,4.1,4.0,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,Montana,3.82
17,2018.0,4.7,4.7,4.7,4.8,4.7,4.7,4.6,4.5,4.4,4.4,4.4,4.4,Washington,4.58
17,2018.0,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.5,2.5,2.5,2.5,2.5,Iowa,2.66
17,2018.0,4.6,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,Mississippi,4.7
17,2018.0,5.4,5.4,5.4,5.4,5.4,5.3,5.4,5.3,5.2,5.2,5.2,5.2,West Virginia,5.32
17,2018.0,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,Kansas,3.37
17,2018.0,3.7,3.7,3.8,3.8,3.9,4.1,4.1,4.1,4.1,4.1,4.1,4.1,Alabama,3.97
17,2018.0,4.1,4.0,3.9,3.8,3.7,3.7,3.8,3.9,4.1,4.1,4.1,4.1,Wyoming,3.94
17,2018.0,4.8,4.9,4.9,4.9,4.7,4.7,4.6,4.6,4.7,4.7,4.7,4.7,Arizona,4.74
17,2018.0,4.7,4.5,4.4,4.3,4.3,4.5,4.6,4.6,4.6,4.6,4.6,4.6,Ohio,4.53
17,2018.0,4.7,4.8,4.7,4.7,4.6,4.4,4.3,4.1,4.0,4.0,4.0,4.0,Michigan,4.36
17,2018.0,4.1,4.1,4.0,4.0,4.0,3.9,3.8,3.7,3.5,3.5,3.5,3.5,Oklahoma,3.8
17,2018.0,3.0,3.0,3.0,2.9,2.8,2.7,2.8,2.9,3.1,3.1,3.1,3.1,Colorado,2.96
17,2018.0,4.0,4.0,4.0,4.1,4.1,4.0,4.0,3.9,3.8,3.8,3.8,3.8,Texas,3.94
17,2018.0,3.7,3.7,3.6,3.6,3.6,3.5,3.4,3.3,3.2,3.2,3.2,3.2,Missouri,3.43
17,2018.0,4.9,4.9,4.9,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,4.5,Nevada,4.68
17,2018.0,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.5,3.5,3.5,3.5,Florida,3.72
17,2018.0,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,New Hampshire,2.67
17,2018.0,3.1,2.9,2.9,2.8,2.8,2.9,2.9,3.0,3.0,3.0,3.0,3.0,Wisconsin,2.94
17,2018.0,4.5,4.6,4.5,4.5,4.5,4.4,4.4,4.3,4.2,4.2,4.2,4.2,Connecticut,4.38
17,2018.0,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,North Dakota,2.63
17,2018.0,4.5,4.4,4.3,4.2,4.0,3.9,3.9,3.9,4.0,4.0,4.0,4.0,Delaware,4.09
17,2018.0,4.3,4.4,4.4,4.2,4.0,3.8,3.6,3.4,3.3,3.3,3.3,3.3,South Carolina,3.77
17,2018.0,4.1,4.2,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,Maryland,4.23
17,2018.0,3.0,2.9,2.7,2.7,2.8,2.9,3.0,3.2,3.3,3.3,3.3,3.3,Maine,3.03
17,2018.0,4.5,4.6,4.5,4.5,4.4,4.3,4.1,4.0,3.9,3.9,3.9,3.9,Rhode Island,4.21
17,2018.0,3.4,3.4,3.4,3.4,3.3,3.2,3.1,3.0,3.0,3.0,3.0,3.0,South Dakota,3.18
17,2018.0,4.6,4.5,4.4,4.5,4.6,4.7,4.9,5.0,5.0,5.0,5.0,5.0,Louisiana,4.77
17,2018.0,7.3,7.3,7.3,7.3,7.2,7.1,6.9,6.7,6.5,6.5,6.5,6.5,Alaska,6.92
17,2018.0,2.1,2.1,2.1,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.2,2.2,Hawaii,2.12
17,2018.0,3.7,3.8,3.8,3.8,3.8,3.8,3.7,3.6,3.5,3.5,3.5,3.5,Arkansas,3.67
17,2018.0,4.1,4.1,4.1,4.1,4.1,4.0,3.9,3.8,3.8,3.8,3.8,3.8,Oregon,3.95
17,2018.0,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,Vermont,2.84
